id,Species,Petal length,Petal width,Sepal length,Sepal width
1,I. setosa,1.1,0.1,4.3,3
2,I. setosa,1.4,0.1,4.8,3
3,I. setosa,1.5,0.1,4.9,3.1
4,I. setosa,1.4,0.1,4.9,3.6
5,I. setosa,1.5,0.1,5.2,4.1
6,I. setosa,1.4,0.2,4.4,2.9
7,I. setosa,1.3,0.2,4.4,3
8,I. setosa,1.4,0.2,4.9,3
9,I. setosa,1.6,0.2,5,3
10,I. setosa,1.5,0.2,4.6,3.1
11,I. setosa,1.6,0.2,4.8,3.1
12,I. setosa,1.5,0.2,4.9,3.1
13,I. setosa,1.3,0.2,4.4,3.2
14,I. setosa,1.4,0.2,4.6,3.2
15,I. setosa,1.3,0.2,4.7,3.2
16,I. setosa,1.6,0.2,4.7,3.2
17,I. setosa,1.2,0.2,5,3.2
18,I. setosa,1.4,0.2,5,3.3
19,I. setosa,1.6,0.2,4.8,3.4
20,I. setosa,1.9,0.2,4.8,3.4
21,I. setosa,1.5,0.2,5,3.4
22,I. setosa,1.5,0.2,5.1,3.4
23,I. setosa,1.4,0.2,5.2,3.4
24,I. setosa,1.7,0.2,5.4,3.4
25,I. setosa,1.4,0.2,5.1,3.5
26,I. setosa,1.5,0.2,5.2,3.5
27,I. setosa,1.3,0.2,5.5,3.5
28,I. setosa,1,0.2,4.6,3.6
29,I. setosa,1.4,0.2,5,3.6
30,I. setosa,1.5,0.2,5.3,3.7
31,I. setosa,1.5,0.2,5.4,3.7
32,I. setosa,1.6,0.2,5.1,3.8
33,I. setosa,1.2,0.2,5.8,4
34,I. setosa,1.4,0.2,5.5,4.2
35,I. setosa,1.3,0.3,4.5,2.3
36,I. setosa,1.4,0.3,4.8,3
37,I. setosa,1.4,0.3,4.6,3.4
38,I. setosa,1.3,0.3,5,3.5
39,I. setosa,1.4,0.3,5.1,3.5
40,I. setosa,1.5,0.3,5.1,3.8
41,I. setosa,1.7,0.3,5.7,3.8
42,I. setosa,1.6,0.4,5,3.4
43,I. setosa,1.5,0.4,5.4,3.4
44,I. setosa,1.5,0.4,5.1,3.7
45,I. setosa,1.9,0.4,5.1,3.8
46,I. setosa,1.3,0.4,5.4,3.9
47,I. setosa,1.7,0.4,5.4,3.9
48,I. setosa,1.5,0.4,5.7,4.4
49,I. setosa,1.7,0.5,5.1,3.3
50,I. setosa,1.6,0.6,5,3.5
51,I. versicolor,3.5,1,5,2
52,I. versicolor,4,1,6,2.2
53,I. versicolor,3.3,1,5,2.3
54,I. versicolor,3.3,1,4.9,2.4
55,I. versicolor,3.7,1,5.5,2.4
56,I. versicolor,3.5,1,5.7,2.6
57,I. versicolor,4.1,1,5.8,2.7
58,I. versicolor,3.8,1.1,5.5,2.4
59,I. versicolor,3,1.1,5.1,2.5
60,I. versicolor,3.9,1.1,5.6,2.5
61,I. versicolor,4.4,1.2,5.5,2.6
62,I. versicolor,4,1.2,5.8,2.6
63,I. versicolor,3.9,1.2,5.8,2.7
64,I. versicolor,4.7,1.2,6.1,2.8
65,I. versicolor,4.2,1.2,5.7,3
66,I. versicolor,4,1.3,5.5,2.3
67,I. versicolor,4.4,1.3,6.3,2.3
68,I. versicolor,4,1.3,5.5,2.5
69,I. versicolor,4.2,1.3,5.6,2.7
70,I. versicolor,4.1,1.3,5.7,2.8
71,I. versicolor,4.5,1.3,5.7,2.8
72,I. versicolor,4,1.3,6.1,2.8
73,I. versicolor,3.6,1.3,5.6,2.9
74,I. versicolor,4.2,1.3,5.7,2.9
75,I. versicolor,4.3,1.3,6.2,2.9
76,I. versicolor,4.3,1.3,6.4,2.9
77,I. versicolor,4.6,1.3,6.6,2.9
78,I. versicolor,4.1,1.3,5.6,3
79,I. versicolor,3.9,1.4,5.2,2.7
80,I. versicolor,4.8,1.4,6.8,2.8
81,I. versicolor,4.7,1.4,6.1,2.9
82,I. versicolor,4.6,1.4,6.1,3
83,I. versicolor,4.4,1.4,6.6,3
84,I. versicolor,4.4,1.4,6.7,3.1
85,I. versicolor,4.7,1.4,7,3.2
86,I. versicolor,4.5,1.5,6.2,2.2
87,I. versicolor,4.9,1.5,6.3,2.5
88,I. versicolor,4.6,1.5,6.5,2.8
89,I. versicolor,4.5,1.5,6,2.9
90,I. versicolor,4.5,1.5,5.4,3
91,I. versicolor,4.5,1.5,5.6,3
92,I. versicolor,4.2,1.5,5.9,3
93,I. versicolor,4.7,1.5,6.7,3.1
94,I. versicolor,4.9,1.5,6.9,3.1
95,I. versicolor,4.5,1.5,6.4,3.2
96,I. versicolor,5.1,1.6,6,2.7
97,I. versicolor,4.7,1.6,6.3,3.3
98,I. versicolor,4.5,1.6,6,3.4
99,I. versicolor,5,1.7,6.7,3
100,I. versicolor,4.8,1.8,5.9,3.2
101,I. virginica,5.6,1.4,6.1,2.6
102,I. virginica,5,1.5,6,2.2
103,I. virginica,5.1,1.5,6.3,2.8
104,I. virginica,5.8,1.6,7.2,3
105,I. virginica,4.5,1.7,4.9,2.5
106,I. virginica,5.8,1.8,6.7,2.5
107,I. virginica,4.9,1.8,6.3,2.7
108,I. virginica,4.8,1.8,6.2,2.8
109,I. virginica,5.6,1.8,6.3,2.9
110,I. virginica,6.3,1.8,7.3,2.9
111,I. virginica,5.1,1.8,5.9,3
112,I. virginica,4.8,1.8,6,3
113,I. virginica,4.9,1.8,6.1,3
114,I. virginica,5.5,1.8,6.5,3
115,I. virginica,5.5,1.8,6.4,3.1
116,I. virginica,6,1.8,7.2,3.2
117,I. virginica,5,1.9,6.3,2.5
118,I. virginica,5.1,1.9,5.8,2.7
119,I. virginica,5.1,1.9,5.8,2.7
120,I. virginica,5.3,1.9,6.4,2.7
121,I. virginica,6.1,1.9,7.4,2.8
122,I. virginica,5,2,5.7,2.5
123,I. virginica,4.9,2,5.6,2.8
124,I. virginica,6.7,2,7.7,2.8
125,I. virginica,5.2,2,6.5,3
126,I. virginica,5.1,2,6.5,3.2
127,I. virginica,6.4,2,7.9,3.8
128,I. virginica,5.6,2.1,6.4,2.8
129,I. virginica,5.5,2.1,6.8,3
130,I. virginica,5.9,2.1,7.1,3
131,I. virginica,6.6,2.1,7.6,3
132,I. virginica,5.4,2.1,6.9,3.1
133,I. virginica,5.7,2.1,6.7,3.3
134,I. virginica,5.6,2.2,6.4,2.8
135,I. virginica,5.8,2.2,6.5,3
136,I. virginica,6.7,2.2,7.7,3.8
137,I. virginica,6.9,2.3,7.7,2.6
138,I. virginica,5.2,2.3,6.7,3
139,I. virginica,6.1,2.3,7.7,3
140,I. virginica,5.1,2.3,6.9,3.1
141,I. virginica,5.3,2.3,6.4,3.2
142,I. virginica,5.9,2.3,6.8,3.2
143,I. virginica,5.7,2.3,6.9,3.2
144,I. virginica,5.4,2.3,6.2,3.4
145,I. virginica,5.1,2.4,5.8,2.8
146,I. virginica,5.6,2.4,6.7,3.1
147,I. virginica,5.6,2.4,6.3,3.4
148,I. virginica,6,2.5,6.3,3.3
149,I. virginica,5.7,2.5,6.7,3.3
150,I. virginica,6.1,2.5,7.2,3.6
