id,pclass,survived,sex,age,sibsp,parch,embarked
1,1,1,0,29,0,0,2
2,1,1,1,0.9167,1,2,2
3,1,0,0,2,1,2,2
4,1,0,1,30,1,2,2
5,1,0,0,25,1,2,2
6,1,1,1,48,0,0,2
7,1,1,0,63,1,0,2
8,1,0,1,39,0,0,2
9,1,1,0,53,2,0,2
10,1,0,1,71,0,0,0
11,1,0,1,47,1,0,0
12,1,1,0,18,1,0,0
13,1,1,0,24,0,0,0
14,1,1,0,26,0,0,2
15,1,1,1,80,0,0,2
16,1,0,1,,0,0,2
17,1,0,1,24,0,1,0
18,1,1,0,50,0,1,0
19,1,1,0,32,0,0,0
20,1,0,1,36,0,0,0
21,1,1,1,37,1,1,2
22,1,1,0,47,1,1,2
23,1,1,1,26,0,0,0
24,1,1,0,42,0,0,0
25,1,1,0,29,0,0,2
26,1,0,1,25,0,0,0
27,1,1,1,25,1,0,0
28,1,1,0,19,1,0,0
29,1,1,0,35,0,0,2
30,1,1,1,28,0,0,2
31,1,0,1,45,0,0,2
32,1,1,1,40,0,0,0
33,1,1,0,30,0,0,2
34,1,1,0,58,0,0,2
35,1,0,1,42,0,0,2
36,1,1,0,45,0,0,0
37,1,1,0,22,0,1,2
38,1,1,1,,0,0,2
39,1,0,1,41,0,0,2
40,1,0,1,48,0,0,0
41,1,0,1,,0,0,0
42,1,1,0,44,0,0,0
43,1,1,0,59,2,0,2
44,1,1,0,60,0,0,0
45,1,1,0,41,0,0,0
46,1,0,1,45,0,0,2
47,1,0,1,,0,0,2
48,1,1,1,42,0,0,2
49,1,1,0,53,0,0,0
50,1,1,1,36,0,1,0
51,1,1,0,58,0,1,0
52,1,0,1,33,0,0,2
53,1,0,1,28,0,0,2
54,1,0,1,17,0,0,2
55,1,1,1,11,1,2,2
56,1,1,0,14,1,2,2
57,1,1,1,36,1,2,2
58,1,1,0,36,1,2,2
59,1,0,1,49,0,0,2
60,1,1,0,,0,0,0
61,1,0,1,36,1,0,2
62,1,1,0,76,1,0,2
63,1,0,1,46,1,0,2
64,1,1,0,47,1,0,2
65,1,1,1,27,1,0,2
66,1,1,0,33,1,0,2
67,1,1,0,36,0,0,0
68,1,1,0,30,0,0,2
69,1,1,1,45,0,0,0
70,1,1,0,,0,1,2
71,1,0,1,,0,0,2
72,1,0,1,27,1,0,0
73,1,1,0,26,1,0,0
74,1,1,0,22,0,0,2
75,1,0,1,,0,0,2
76,1,0,1,47,0,0,2
77,1,1,0,39,1,1,0
